"","actor1","actor2"
"170",65,138
"171",26,58
"172",120,49
"173",120,138
"174",59,138
"175",65,138
"176",113,147
"177",113,45
"178",59,138
"179",65,138
"180",120,138
"181",113,45
"182",26,58
"183",120,138
"184",138,49
"185",120,138
"186",138,120
"187",109,113
"188",120,138
"189",120,138
"190",138,65
"191",120,138
"192",59,138
"193",138,65
"194",120,138
"195",4,120
"196",59,138
"197",95,58
"198",65,138
"199",109,45
"200",109,98
"201",65,138
"202",59,138
"203",65,138
"204",109,98
"205",138,65
"206",65,138
"207",138,49
"208",138,53
"209",65,138
"210",120,138
"211",120,49
"212",120,49
"213",120,49
"214",120,138
"215",65,138
"216",138,120
"217",59,138
"218",138,120
"219",120,138
"220",120,4
"221",4,120
"222",59,130
"223",65,138
"224",120,49
"225",59,109
"226",120,49
"227",120,49
"228",120,4
"229",95,58
"230",65,138
"231",138,109
"232",26,138
"233",138,53
"234",59,49
"235",138,65
"236",138,109
"237",138,59
"238",39,58
"239",138,65
"240",138,65
"241",120,130
"242",138,59
"243",120,49
"244",138,59
"245",138,109
"246",120,49
"247",120,49
"248",120,49
"249",90,120
"250",138,120
"251",39,58
"252",120,138
"253",138,130
"254",138,130
"255",138,130
"256",109,98
"257",91,117
"258",138,120
"259",138,59
"260",120,138
"261",120,49
"262",138,59
"263",138,59
"264",95,58
"265",138,59
"266",65,138
"267",120,49
"268",53,58
"269",120,138
"270",120,49
"271",120,4
"272",59,138
"273",120,4
"274",120,138
"275",120,138
"276",59,130
"277",120,4
"278",59,120
"279",65,138
"280",59,138
"281",138,109
"282",59,138
"283",53,58
"284",59,138
"285",138,65
"286",138,65
"287",138,65
"288",138,26
"289",109,45
"290",59,109
"291",59,138
"292",59,138
"293",138,59
"294",138,59
"295",59,120
"296",109,113
"297",59,138
"298",138,45
"299",138,65
"300",59,138
"301",53,58
"302",120,4
"303",138,49
"304",138,130
"305",4,120
"306",45,109
"307",120,130
"308",65,138
"309",59,65
"310",59,49
"311",138,59
"312",138,59
"313",138,49
"314",59,65
"315",120,130
"316",59,49
"317",120,4
"318",59,4
"319",59,49
"320",59,138
"321",4,120
"322",59,138
"323",59,49
"324",120,4
"325",58,53
"326",4,120
"327",4,120
"328",120,49
"329",59,138
"330",59,49
"331",59,138
"332",120,4
"333",120,4
"334",75,58
"335",120,49
"336",58,53
"337",58,36
"338",59,120
"339",120,59
"340",75,58
"341",59,120
"342",59,26
"343",120,138
"344",120,49
"345",59,120
"346",120,49
"347",120,59
"348",59,138
"349",59,138
"350",59,120
"351",120,130
"352",120,59
"353",4,120
"354",59,138
"355",59,26
"356",59,53
"357",120,59
"358",59,61
"359",59,53
"360",120,4
"361",59,120
"362",59,53
"363",59,120
"364",59,138
"365",120,49
"366",59,120
"367",120,4
"368",120,130
"369",4,120
"370",120,49
"371",59,120
"372",59,120
"373",120,49
"374",120,138
"375",120,49
"376",120,138
"377",120,130
"378",120,49
"379",59,120
"380",91,58
"381",113,45
"382",59,138
"383",59,130
"384",120,130
"385",57,113
"386",91,34
"387",59,65
"388",59,138
"389",65,138
"390",59,130
"391",59,138
"392",59,138
"393",120,49
"394",120,4
"395",120,130
"396",59,95
"397",59,138
"398",109,138
"399",138,95
"400",59,138
"401",59,49
"402",120,138
"403",120,138
"404",120,49
"405",120,49
"406",59,138
"407",59,138
"408",120,138
"409",59,130
"410",120,49
"411",59,138
"412",120,138
"413",109,138
"414",59,138
"415",59,130
"416",91,34
"417",59,130
"418",59,138
"419",45,53
"420",59,130
"421",138,109
"422",138,59
"423",59,138
"424",59,138
"425",138,49
"426",59,138
"427",57,24
"428",138,59
"429",138,59
"430",45,26
"431",138,120
"432",138,65
"433",109,45
"434",120,138
"435",4,120
"436",138,109
"437",122,131
"438",138,26
"439",59,138
"440",120,138
"441",59,138
"442",138,65
"443",59,138
"444",59,130
"445",120,49
"446",138,59
"447",120,49
"448",120,49
"449",59,138
"450",120,49
"451",120,49
"452",120,4
"453",109,138
"454",120,130
"455",120,130
"456",120,138
"457",120,138
"458",120,49
"459",4,120
"460",59,138
"461",59,49
"462",59,130
"463",138,130
"464",59,138
"465",138,65
"466",45,109
"467",138,109
"468",57,113
"469",138,130
"470",113,147
"471",61,20
"472",65,138
"473",59,109
"474",138,109
"475",91,34
"476",138,65
"477",91,34
"478",138,59
"479",59,138
"480",138,130
"481",138,59
"482",120,49
"483",120,49
"484",109,45
"485",120,4
"486",120,49
"487",120,49
"488",120,138
"489",138,59
"490",65,138
"491",4,120
"492",120,138
"493",59,138
"494",59,138
"495",59,138
"496",130,138
"497",130,109
"498",59,138
"499",59,138
"500",59,138
"501",130,138
"502",138,53
"503",59,138
"504",49,59
"505",59,138
"506",59,65
"507",59,138
"508",91,34
"509",59,130
"510",59,138
"511",91,34
"512",57,113
"513",59,138
"514",120,138
"515",61,124
"516",120,4
"517",120,49
"518",4,120
"519",59,130
"520",138,49
"521",120,49
"522",26,138
"523",53,138
"524",59,138
"525",59,138
"526",138,130
"527",59,138
"528",59,138
"529",138,49
"530",59,138
"531",59,138
"532",59,109
"533",59,138
"534",120,130
"535",120,49
"536",120,4
"537",120,138
"538",138,120
"539",120,138
"540",138,120
"541",59,138
"542",59,49
"543",138,59
"544",120,138
"545",120,138
"546",138,120
"547",59,138
"548",59,138
"549",120,4
"550",120,4
"551",120,4
"552",59,138
"553",120,49
"554",120,49
"555",59,120
"556",120,59
"557",120,138
"558",59,65
"559",138,65
"560",65,138
"561",138,130
"562",138,53
"563",120,49
"564",120,4
"565",120,49
"566",138,120
"567",4,120
"568",59,138
"569",138,26
"570",59,138
"571",120,49
"572",59,4
"573",120,1
"574",59,138
"575",138,59
"576",59,138
"577",120,4
"578",59,138
"579",138,53
"580",59,138
"581",59,138
"582",59,138
"583",138,59
"584",138,95
"585",59,138
"586",120,138
"587",59,138
"588",20,131
"589",120,138
"590",59,138
"591",49,120
"592",45,109
"593",138,65
"594",130,49
"595",49,120
"596",49,120
"597",120,138
"598",120,49
"599",109,45
"600",59,138
"601",138,59
"602",138,120
"603",59,138
"604",59,138
"605",138,130
"606",49,120
"607",59,49
"608",138,65
"609",120,49
"610",113,45
"611",138,53
"612",120,138
"613",120,138
"614",120,49
"615",45,109
"616",138,59
"617",138,59
"618",26,138
"619",130,138
"620",120,138
"621",120,138
"622",120,49
"623",130,138
"624",59,65
"625",130,138
"626",49,120
"627",91,53
"628",59,138
"629",120,130
"630",109,45
"631",59,138
"632",120,49
"633",120,138
"634",120,138
"635",65,138
"636",120,138
"637",138,120
"638",138,49
"639",138,53
"640",59,138
"641",138,59
"642",138,59
"643",59,120
"644",59,138
"645",59,53
"646",138,26
"647",138,53
"648",138,120
"649",59,120
"650",138,65
"651",138,120
"652",113,45
"653",120,138
"654",120,49
"655",131,20
"656",120,49
"657",49,138
"658",120,130
"659",53,138
"660",53,58
"661",120,95
"662",120,49
"663",120,49
"664",109,45
"665",138,59
"666",59,138
"667",59,138
"668",138,59
"669",138,26
"670",45,109
"671",26,138
"672",59,138
"673",59,138
"674",65,138
"675",46,109
"676",138,26
"677",59,138
"678",109,113
"679",113,34
"680",113,34
"681",59,4
"682",45,138
"683",138,45
"684",59,120
"685",120,59
"686",113,45
"687",138,59
"688",45,113
"689",59,138
"690",138,65
"691",113,45
"692",138,130
"693",59,138
"694",59,138
"695",59,26
"696",59,26
"697",59,138
"698",59,138
"699",45,113
"700",59,138
"701",120,49
"702",120,138
"703",46,131
"704",109,122
"705",59,138
"706",49,120
"707",59,138
"708",138,65
"709",120,138
"710",46,109
"711",45,65
"712",59,109
"713",59,130
"714",46,113
"715",59,109
"716",59,109
"717",120,49
"718",120,138
"719",39,142
"720",59,138
"721",59,109
"722",131,61
"723",39,142
"724",59,109
"725",59,138
"726",109,113
"727",5,69
"728",15,45
"729",122,61
"730",138,53
"731",138,53
"732",138,49
"733",109,21
"734",59,138
"735",120,130
"736",59,109
"737",131,61
"738",59,138
"739",91,116
"740",59,138
"741",138,59
"742",138,59
"743",5,74
"744",59,138
"745",138,59
"746",120,109
"747",91,58
"748",120,49
"749",120,49
"750",120,49
"751",59,109
"752",34,17
"753",138,120
"754",138,120
"755",91,58
"756",59,109
"757",59,109
"758",7,121
"759",120,49
"760",145,60
"761",34,17
"762",109,113
"763",34,17
"764",120,109
"765",59,109
"766",34,17
"767",7,118
"768",59,109
"769",67,84
"770",34,17
"771",67,147
"772",48,56
"773",120,4
"774",120,49
"775",120,49
"776",120,49
"777",59,138
"778",48,56
"779",59,109
"780",49,109
"781",7,67
"782",59,138
"783",120,138
"784",120,49
"785",7,67
"786",117,27
"787",67,147
"788",113,45
"789",91,58
"790",120,109
"791",34,145
"792",34,145
"793",138,59
"794",138,109
"795",120,90
"796",120,49
"797",120,49
"798",34,117
"799",34,117
"800",34,117
"801",138,109
"802",138,26
"803",39,90
"804",39,142
"805",39,90
"806",39,142
"807",5,69
"808",117,34
"809",117,34
"810",39,90
"811",39,142
"812",39,142
"813",39,142
"814",39,142
"815",39,142
"816",39,142
"817",39,142
"818",39,142
"819",39,142
"820",39,142
"821",39,142
"822",39,142
"823",39,142
"824",39,142
"825",39,142
"826",39,123
"827",117,34
"828",39,142
"829",117,34
"830",109,147
"831",39,142
"832",39,142
"833",39,142
"834",39,142
"835",39,142
"836",39,142
"837",39,142
"838",39,142
"839",39,142
"840",39,142
"841",39,142
"842",117,57
"843",39,90
"844",39,90
"845",34,47
"846",39,142
"847",39,123
"848",39,142
"849",39,142
"850",138,130
"851",39,142
"852",59,138
"853",59,138
"854",147,113
"855",117,27
"856",39,142
"857",39,142
"858",39,142
"859",48,56
"860",117,34
"861",138,59
"862",138,59
"863",39,142
"864",39,142
"865",109,113
"866",59,109
"867",59,138
"868",39,90
"869",39,90
"870",109,45
"871",113,109
"872",39,142
"873",39,50
"874",39,90
"875",117,57
"876",39,142
"877",7,150
"878",7,102
"879",39,142
"880",67,147
"881",46,113
"882",34,117
"883",138,65
"884",34,117
"885",34,117
"886",117,57
"887",39,90
"888",39,90
"889",59,138
"890",120,49
"891",120,138
"892",120,138
"893",59,109
"894",39,90
"895",34,17
"896",59,138
"897",39,142
"898",60,147
"899",49,138
"900",36,156
"901",117,47
"902",117,47
"903",59,138
"904",138,130
"905",117,27
"906",34,117
"907",59,109
"908",59,138
"909",120,49
"910",109,147
"911",91,73
"912",39,142
"913",59,109
"914",113,45
"915",5,69
"916",60,147
"917",113,49
"918",45,113
"919",45,138
"920",138,45
"921",120,49
"922",45,138
"923",130,138
"924",59,109
"925",7,65
"926",113,45
"927",120,49
"928",156,67
"929",156,3
"930",120,49
"931",59,109
"932",120,138
"933",117,34
"934",5,69
"935",59,138
"936",60,147
"937",5,69
"938",59,138
"939",59,109
"940",113,130
"941",122,60
"942",60,122
"943",60,122
"944",122,60
"945",34,57
"946",60,65
"947",60,2
"948",15,80
"949",117,34
"950",34,47
"951",117,20
"952",138,59
"953",138,130
"954",59,26
"955",34,47
"956",29,55
"957",109,147
"958",65,60
"959",138,59
"960",113,109
"961",117,34
"962",2,60
"963",59,109
"964",34,47
"965",5,69
"966",59,138
"967",91,54
"968",39,90
"969",59,109
"970",39,50
"971",34,117
"972",59,109
"973",34,17
"974",39,142
"975",39,142
"976",34,47
"977",120,4
"978",120,4
"979",120,49
"980",120,4
"981",59,138
"982",59,49
"983",5,69
"984",59,109
"985",113,109
"986",117,34
"987",120,138
"988",120,138
"989",117,34
"990",34,117
"991",138,59
"992",15,113
"993",17,48
"994",117,34
"995",120,138
"996",59,109
"997",120,138
"998",138,65
"999",59,136
"1000",39,142
"1001",109,53
"1002",59,138
"1003",117,34
"1004",120,113
"1005",138,65
"1006",138,45
"1007",34,117
"1008",59,109
"1009",113,82
"1010",120,138
"1011",65,138
"1012",65,138
"1013",120,49
"1014",60,7
"1015",60,7
"1016",53,113
"1017",59,120
"1018",109,98
"1019",59,138
"1020",138,65
"1021",60,65
"1022",59,130
"1023",65,138
"1024",59,120
"1025",117,47
"1026",36,31
"1027",53,113
"1028",138,65
"1029",59,136
"1030",120,49
"1031",59,109
"1032",145,60
"1033",120,138
"1034",138,65
"1035",65,138
"1036",60,145
"1037",60,17
"1038",17,56
"1039",59,138
"1040",138,120
"1041",120,130
"1042",46,113
"1043",138,130
"1044",59,109
"1045",39,142
"1046",39,90
"1047",46,113
"1048",138,65
"1049",138,65
"1050",38,48
"1051",120,49
"1052",60,11
"1053",138,65
"1054",39,142
"1055",65,138
"1056",65,138
"1057",138,113
"1058",39,142
"1059",120,138
"1060",59,109
"1061",120,49
"1062",59,138
"1063",34,117
"1064",34,17
"1065",59,58
"1066",135,7
"1067",117,34
"1068",138,59
"1069",34,117
"1070",7,135
"1071",46,113
"1072",120,138
"1073",34,117
"1074",138,65
"1075",113,109
"1076",120,138
"1077",120,49
"1078",59,109
"1079",53,113
"1080",59,138
"1081",59,109
"1082",34,117
"1083",34,117
"1084",117,34
"1085",109,147
"1086",65,138
"1087",138,65
"1088",135,65
"1089",5,69
"1090",120,49
"1091",5,74
"1092",74,5
"1093",120,138
"1094",120,4
"1095",138,130
"1096",138,65
"1097",59,26
"1098",59,26
"1099",59,138
"1100",7,63
"1101",39,90
"1102",59,109
"1103",109,98
"1104",131,20
"1105",34,47
"1106",59,138
"1107",138,130
"1108",5,74
"1109",124,127
"1110",120,59
"1111",91,116
"1112",117,34
"1113",39,53
"1114",117,20
"1115",53,39
"1116",156,135
"1117",59,109
"1118",34,57
"1119",39,50
"1120",117,34
"1121",34,117
"1122",120,4
"1123",59,136
"1124",39,53
"1125",120,49
"1126",120,49
"1127",138,26
"1128",113,120
"1129",113,45
"1130",120,138
"1131",120,138
"1132",36,31
"1133",39,90
"1134",120,49
"1135",120,130
"1136",5,74
"1137",120,138
"1138",5,69
"1139",34,57
"1140",60,61
"1141",34,117
"1142",39,142
"1143",39,142
"1144",117,34
"1145",46,113
"1146",59,109
"1147",117,34
"1148",34,47
"1149",34,117
"1150",46,113
"1151",120,49
"1152",65,138
"1153",46,113
"1154",46,113
"1155",138,130
"1156",120,138
"1157",113,147
"1158",34,47
"1159",117,27
"1160",5,69
"1161",5,69
"1162",59,109
"1163",62,121
"1164",130,138
"1165",67,121
"1166",120,49
"1167",130,138
"1168",59,138
"1169",34,17
"1170",5,69
"1171",59,138
"1172",120,49
"1173",120,138
"1174",131,61
"1175",59,109
"1176",7,147
"1177",34,57
"1178",34,117
"1179",59,138
"1180",34,57
"1181",59,138
"1182",31,36
"1183",135,65
"1184",59,109
"1185",59,120
"1186",59,49
"1187",34,57
"1188",5,118
"1189",117,34
"1190",34,117
"1191",138,65
"1192",59,138
"1193",59,65
"1194",138,65
"1195",59,109
"1196",135,121
"1197",120,59
"1198",120,49
"1199",120,4
"1200",120,49
"1201",142,39
"1202",34,117
"1203",120,4
"1204",130,65
"1205",59,49
"1206",117,34
"1207",5,74
"1208",130,65
"1209",130,65
"1210",130,138
"1211",120,49
"1212",135,121
"1213",60,131
"1214",29,84
"1215",31,5
"1216",15,113
"1217",48,56
"1218",67,84
"1219",34,57
"1220",34,117
"1221",156,55
"1222",113,25
"1223",113,53
"1224",48,56
"1225",17,73
"1226",39,90
"1227",17,73
"1228",120,138
"1229",131,61
"1230",117,47
"1231",59,109
"1232",122,61
"1233",131,61
"1234",53,90
"1235",34,47
"1236",98,109
"1237",5,69
"1238",60,65
"1239",59,109
"1240",156,55
"1241",34,117
"1242",120,49
"1243",122,61
"1244",59,49
"1245",59,138
"1246",59,120
"1247",156,43
"1248",59,138
"1249",138,26
"1250",59,109
"1251",65,138
"1252",138,26
"1253",65,60
"1254",65,138
"1255",60,65
"1256",120,4
"1257",120,49
"1258",120,49
"1259",120,59
"1260",45,15
"1261",117,20
"1262",59,130
"1263",120,49
"1264",59,109
"1265",59,138
"1266",120,138
"1267",156,123
"1268",45,109
"1269",91,117
"1270",29,84
"1271",59,130
"1272",117,47
"1273",59,130
"1274",59,49
"1275",45,113
"1276",34,117
"1277",65,138
"1278",59,130
"1279",120,138
"1280",138,65
"1281",130,138
"1282",48,56
"1283",59,109
"1284",59,130
"1285",117,27
"1286",29,67
"1287",59,130
"1288",59,26
"1289",117,34
"1290",138,45
"1291",59,109
"1292",65,138
"1293",59,130
"1294",67,84
"1295",59,109
"1296",39,142
"1297",61,122
"1298",156,43
"1299",34,117
"1300",39,90
"1301",120,138
"1302",65,138
"1303",39,142
"1304",65,138
"1305",39,90
"1306",109,53
"1307",120,4
"1308",138,26
"1309",91,117
"1310",5,74
"1311",67,65
"1312",117,57
"1313",91,117
"1314",39,90
"1315",117,57
"1316",59,109
"1317",17,56
"1318",17,73
"1319",49,59
"1320",138,113
"1321",59,49
"1322",109,98
"1323",138,120
"1324",60,45
"1325",120,138
"1326",65,138
"1327",138,130
"1328",59,138
"1329",65,138
"1330",17,48
"1331",34,117
"1332",117,34
"1333",45,53
"1334",34,9
"1335",34,57
"1336",34,57
"1337",34,57
"1338",109,138
"1339",109,138
"1340",109,98
"1341",138,65
"1342",109,53
"1343",5,69
"1344",130,138
"1345",109,53
"1346",65,138
"1347",59,65
"1348",120,130
"1349",60,147
"1350",120,138
"1351",120,138
"1352",138,45
"1353",138,120
"1354",142,39
"1355",65,90
"1356",65,138
"1357",39,142
"1358",59,109
"1359",34,27
"1360",4,120
"1361",34,57
"1362",120,4
"1363",120,49
"1364",7,147
"1365",120,138
"1366",39,90
"1367",39,90
"1368",59,109
"1369",60,11
"1370",138,130
"1371",138,120
"1372",17,73
"1373",117,27
"1374",45,138
"1375",59,138
"1376",59,109
"1377",130,138
"1378",45,138
"1379",117,27
"1380",39,142
"1381",59,138
"1382",39,90
"1383",59,138
"1384",130,138
"1385",113,65
"1386",156,69
"1387",59,109
"1388",59,138
"1389",24,147
"1390",156,43
"1391",66,31
"1392",59,138
"1393",138,59
"1394",138,130
"1395",130,138
"1396",135,24
"1397",48,56
"1398",90,123
"1399",39,108
"1400",120,4
"1401",130,138
"1402",4,120
"1403",4,120
"1404",117,27
"1405",45,53
"1406",130,138
"1407",5,78
"1408",130,138
"1409",59,109
"1410",110,59
"1411",117,34
"1412",120,130
"1413",59,109
"1414",59,109
"1415",39,142
"1416",120,4
"1417",59,65
"1418",117,34
"1419",34,57
"1420",117,27
"1421",117,17
"1422",59,109
"1423",59,138
"1424",34,117
"1425",59,138
"1426",59,65
"1427",60,38
"1428",65,138
"1429",39,90
"1430",120,4
"1431",59,138
"1432",120,138
"1433",59,109
"1434",120,4
"1435",117,27
"1436",59,138
"1437",120,49
"1438",120,4
"1439",117,34
"1440",122,61
"1441",39,90
"1442",59,49
"1443",59,138
"1444",66,138
"1445",120,49
"1446",59,130
"1447",59,138
"1448",39,90
"1449",39,90
"1450",120,49
"1451",59,109
"1452",117,27
"1453",120,4
"1454",120,4
"1455",130,109
"1456",117,34
"1457",36,30
"1458",120,49
"1459",130,138
"1460",59,130
"1461",59,138
"1462",59,109
"1463",61,124
"1464",5,69
"1465",120,49
"1466",45,15
"1467",34,117
"1468",120,138
"1469",39,54
"1470",39,90
"1471",34,117
"1472",138,130
"1473",120,49
"1474",5,69
"1475",156,112
"1476",59,109
"1477",59,138
"1478",120,49
"1479",5,69
"1480",59,109
"1481",156,112
"1482",5,69
"1483",46,31
"1484",90,142
"1485",120,138
"1486",5,74
"1487",7,147
"1488",7,11
"1489",59,109
"1490",121,147
"1491",138,58
"1492",156,135
"1493",39,90
"1494",138,65
"1495",39,50
"1496",34,117
"1497",39,90
"1498",39,108
"1499",34,57
"1500",156,128
"1501",62,121
"1502",62,121
"1503",60,2
"1504",34,57
"1505",39,50
"1506",39,50
"1507",60,2
"1508",59,109
"1509",130,138
"1510",130,138
"1511",130,138
"1512",120,49
"1513",59,65
"1514",59,109
"1515",120,138
"1516",120,130
"1517",5,69
"1518",39,54
"1519",59,138
"1520",5,69
"1521",130,138
"1522",59,138
"1523",59,109
"1524",138,2
"1525",120,138
"1526",135,147
"1527",138,59
"1528",39,90
"1529",59,21
"1530",120,138
"1531",120,49
"1532",120,138
"1533",120,49
"1534",113,45
"1535",156,55
"1536",120,49
"1537",117,27
"1538",120,138
"1539",59,130
"1540",39,50
"1541",130,138
"1542",130,138
"1543",59,138
"1544",5,69
"1545",120,49
"1546",120,138
"1547",31,58
"1548",109,53
"1549",59,138
"1550",120,4
"1551",59,109
"1552",59,138
"1553",59,138
"1554",59,138
"1555",59,138
"1556",91,117
"1557",5,69
"1558",117,91
"1559",59,138
"1560",117,91
"1561",5,69
"1562",34,117
"1563",39,50
"1564",34,57
"1565",65,11
"1566",39,142
"1567",39,90
"1568",39,90
"1569",156,55
"1570",120,138
"1571",122,131
"1572",91,117
"1573",34,17
"1574",147,135
"1575",122,61
"1576",59,138
"1577",65,138
"1578",39,50
"1579",5,69
"1580",5,69
"1581",59,26
"1582",39,142
"1583",39,108
"1584",34,57
"1585",120,49
"1586",39,50
"1587",65,60
"1588",94,39
"1589",34,117
"1590",91,117
"1591",118,112
"1592",60,124
"1593",118,112
"1594",120,138
"1595",39,94
"1596",59,109
"1597",59,26
"1598",120,4
"1599",118,112
"1600",49,138
"1601",130,138
"1602",39,142
"1603",59,138
"1604",120,4
"1605",59,109
"1606",120,138
"1607",39,142
"1608",39,108
"1609",39,108
"1610",59,138
"1611",1,42
"1612",59,49
"1613",117,27
"1614",120,138
"1615",1,76
"1616",59,109
"1617",130,138
"1618",138,59
"1619",39,90
"1620",5,69
"1621",118,69
"1622",118,69
"1623",39,90
"1624",39,90
"1625",118,69
"1626",5,74
"1627",117,34
"1628",49,138
"1629",59,109
"1630",59,138
"1631",49,138
"1632",118,112
"1633",122,131
"1634",113,53
"1635",49,59
"1636",48,56
"1637",5,69
"1638",59,120
"1639",120,4
"1640",59,138
"1641",130,138
"1642",131,61
"1643",59,138
"1644",4,120
"1645",130,138
"1646",117,47
"1647",5,69
"1648",131,61
"1649",5,78
"1650",131,61
"1651",138,130
"1652",34,117
"1653",117,20
"1654",138,45
"1655",59,109
"1656",34,57
"1657",120,130
"1658",59,130
"1659",39,50
"1660",39,142
"1661",39,90
"1662",130,49
"1663",130,49
"1664",130,49
"1665",109,98
"1666",91,116
"1667",91,116
"1668",59,130
"1669",20,117
"1670",117,20
"1671",130,4
"1672",4,138
"1673",95,4
"1674",131,61
"1675",59,130
"1676",130,138
"1677",130,26
"1678",122,61
"1679",147,123
"1680",122,131
"1681",62,79
"1682",156,43
"1683",45,147
"1684",118,112
"1685",39,28
"1686",45,147
"1687",122,61
"1688",30,102
"1689",39,28
"1690",34,17
"1691",117,57
"1692",20,57
"1693",131,61
"1694",131,61
"1695",117,17
"1696",59,53
"1697",5,69
"1698",59,130
"1699",95,53
"1700",130,26
"1701",156,30
"1702",130,26
"1703",130,120
"1704",130,4
"1705",117,34
"1706",60,116
"1707",120,49
"1708",34,48
"1709",130,120
"1710",4,138
"1711",59,130
"1712",130,138
"1713",34,57
"1714",91,116
"1715",61,122
"1716",138,120
"1717",95,26
"1718",130,120
"1719",59,130
"1720",120,130
"1721",120,49
"1722",1,76
"1723",1,100
"1724",7,67
"1725",17,56
"1726",17,73
"1727",17,56
"1728",59,138
"1729",95,26
"1730",59,138
"1731",130,59
"1732",5,69
"1733",130,26
"1734",61,122
"1735",130,138
"1736",120,130
"1737",120,130
"1738",4,138
"1739",118,112
"1740",39,90
"1741",5,78
"1742",117,34
"1743",4,138
"1744",130,120
"1745",4,138
"1746",120,4
"1747",120,4
"1748",120,59
"1749",120,49
"1750",120,130
"1751",117,115
"1752",130,120
"1753",117,20
"1754",130,4
"1755",120,130
"1756",60,2
"1757",130,95
"1758",130,138
"1759",95,130
"1760",130,120
"1761",130,120
"1762",95,26
"1763",1,154
"1764",95,53
"1765",120,138
"1766",34,117
"1767",1,154
"1768",120,138
"1769",130,59
"1770",120,130
"1771",120,4
"1772",138,130
"1773",117,20
"1774",95,26
"1775",117,34
"1776",34,117
"1777",95,26
"1778",120,49
"1779",130,138
"1780",49,120
"1781",130,26
"1782",117,9
"1783",120,49
"1784",120,130
"1785",120,138
"1786",118,112
"1787",130,49
"1788",130,59
"1789",130,138
"1790",34,57
"1791",130,120
"1792",45,138
"1793",59,130
"1794",59,130
"1795",138,130
"1796",120,138
"1797",120,49
"1798",45,138
"1799",61,11
"1800",120,4
"1801",61,122
"1802",95,58
"1803",95,53
"1804",130,26
"1805",120,130
"1806",53,58
"1807",39,90
"1808",49,138
"1809",130,26
"1810",130,120
"1811",120,130
"1812",130,120
"1813",117,34
"1814",130,138
"1815",130,49
"1816",34,117
"1817",130,138
"1818",14,155
"1819",49,138
"1820",59,138
"1821",120,138
"1822",120,49
"1823",131,20
"1824",65,138
"1825",120,49
"1826",4,138
"1827",138,65
"1828",135,147
"1829",65,138
"1830",61,11
"1831",34,57
"1832",26,59
"1833",34,17
"1834",34,57
"1835",120,130
"1836",130,59
"1837",130,138
"1838",130,138
"1839",95,58
"1840",59,138
"1841",120,130
"1842",130,120
"1843",45,113
"1844",131,61
"1845",117,34
"1846",120,138
"1847",34,9
"1848",24,67
"1849",67,24
"1850",39,108
"1851",5,69
"1852",39,142
"1853",120,15
"1854",39,142
"1855",113,49
"1856",39,108
"1857",26,59
"1858",59,138
"1859",4,138
"1860",117,34
"1861",60,11
"1862",39,142
"1863",59,130
"1864",34,57
"1865",117,34
"1866",45,24
"1867",130,4
"1868",49,59
"1869",120,4
"1870",59,49
"1871",95,108
"1872",59,138
